TaxID	Microbe_Genus	Host_Genera
TRH1	Starmerella	Apis, Bombus, Exoneura, Tetragonula, Epeolus, Dufourea, Megalopta, Halictus
TRH13	Alternaria	Bombus, Apis, Tetragonula, Exoneura, Epeolus, Anthophora, Nomada, Dufourea, Ceratina, Megalopta, Halictus, Osmia, Andrena
TRH21	Wolfiporia	Ceratina, Bombus, Apis
TRH23	Aspergillus	Ceratina, Apis, Tetragonisca, Bombus, Euglossa, Lasioglossum, Tetragonula, Exoneura, Dufourea, Osmia, Megalopta
TRH54	Penicillium	Apis, Tetragonisca, Bombus, Andrena, Lasioglossum, Tetragonula, Exoneura, Epeolus, Dufourea, Osmia
TRH101	Leptomonas	Apis, Bombus, Osmia
TRH102	Crithidia	Apis, Bombus, Osmia
TRH104	Lotmaria	Apis, Bombus
TRH111	Metschnikowia	Tetragonisca, Bombus, Apis, Epeolus, Euglossa, Habropoda, Osmia
TRH114	Bipolaris	Bombus, Tetragonula, Epeolus, Dufourea, Halictus
TRH116	Fusarium	Tetragonisca, Bombus, Tetragonula, Dufourea, Ceratina
TRH127	Aureobasidium	Tetragonisca, Bombus, Apis, Exoneura, Tetragonula, Epeolus, Dufourea, Halictus, Osmia
TRH130	Parastagonospora	Tetragonisca, Bombus, Lasioglossum, Tetragonula
TRH152	Yamadazyma	Tetragonisca, Bombus, Megalopta, Halictus
TRH153	Cladosporium	Tetragonisca, Bombus, Andrena, Apis, Lasioglossum, Tetragonula, Epeolus, Dufourea, Osmia, Halictus
TRH159	Clavispora	Tetragonisca, Bombus, Euglossa, Habropoda, Osmia
TRH162	Leishmania	Tetragonisca, Apis, Bombus, Osmia
TRH171	Cercospora	Tetragonisca, Bombus, Apis, Tetragonula, Dufourea, Osmia
TRH181	Colletotrichum	Tetragonisca, Bombus, Exoneura, Tetragonula, Osmia
TRH185	Dictyostelium	Bombus, Euglossa
TRH191	Zymoseptoria	Bombus, Apis, Dufourea, Osmia
TRH211	Zygosaccharomyces	Bombus, Apis, Osmia
TRH226	Malassezia	Bombus, Euglossa, Apis
TRH228	Yarrowia	Bombus, Euglossa
TRH334	Diplodia	Euglossa, Bombus
TRH336	Plasmodium	Euglossa, Bombus, Andrena, Apis
TRH344	Botrytis	Bombus, Osmia
TRH365	Saccharomyces	Bombus, Megalopta, Halictus, Apis
TRH367	Candida	Bombus, Exoneura, Apis, Megalopta, Halictus, Osmia
TRH462	Nosema	Andrena, Apis, Exoneura, Lasioglossum, Bombus
TRH472	Trypanosoma	Apis, Bombus, Osmia
TRH493	Apicystis	Andrena, Bombus, Ceratina
