Apini	Bombini	Ceratini	Meliponini	Euglossini	Andrenini	Osmiini	Augochlorini
TRH2	1	1	0	1	0	1	0	0
TRH3	1	1	0	1	0	1	0	0
TRH4	1	1	0	1	0	1	0	0
TRH5	1	1	1	1	1	0	1	1
TRH7	1	1	1	1	0	1	1	0
TRH8	1	1	0	0	0	1	1	1
TRH9	1	1	0	1	0	0	0	0
TRH16	1	1	0	1	0	1	1	0
TRH17	1	1	1	0	0	1	0	0
TRH18	1	1	0	0	0	1	0	0
TRH19	1	1	1	1	0	0	1	1
TRH20	1	1	0	0	0	1	1	0
TRH22	1	1	1	0	1	0	0	0
TRH27	1	1	1	0	0	1	0	0
TRH29	0	1	1	0	0	0	0	1
TRH38	1	1	1	1	1	0	1	0
TRH46	1	1	1	0	0	0	0	0
TRH49	0	1	0	0	1	0	1	1
TRH51	0	1	0	0	0	0	1	0
TRH53	1	1	0	1	0	1	0	0
TRH57	1	1	0	1	0	1	1	1
TRH59	1	1	0	0	1	0	0	1
TRH60	1	1	0	0	0	1	0	1
TRH64	1	1	0	1	0	0	0	1
TRH66	1	1	0	0	0	0	0	1
TRH69	0	1	0	0	0	0	0	1
TRH70	1	1	0	0	1	0	0	1
TRH71	1	1	0	1	0	0	0	1
TRH72	1	1	0	0	0	1	0	1
TRH73	1	1	0	0	1	1	0	0
TRH77	1	1	0	1	1	0	0	1
TRH78	1	1	0	1	1	0	0	1
TRH85	1	1	0	1	1	1	0	0
TRH88	1	1	0	1	0	1	1	0
TRH93	1	1	0	1	0	0	0	0
TRH94	1	1	0	0	0	0	0	0
TRH97	1	1	0	0	0	0	0	0
TRH99	1	1	1	1	0	1	1	0
TRH103	1	1	0	1	1	0	0	1
TRH106	1	1	0	0	0	1	1	0
TRH107	1	1	0	0	0	1	0	0
TRH117	1	1	0	1	0	1	1	0
TRH119	1	1	0	1	1	0	0	1
TRH128	1	1	0	1	0	1	0	0
TRH157	1	1	0	1	0	1	0	0
TRH160	1	1	0	1	0	1	1	1
TRH161	1	1	0	1	0	0	0	0
TRH184	1	1	0	1	0	0	0	0
TRH194	0	1	0	0	1	1	1	1
TRH215	0	1	0	0	0	0	0	0
TRH220	1	1	0	0	1	1	0	0
TRH224	1	1	0	0	1	0	0	0
TRH230	1	1	0	0	1	0	0	0
TRH231	1	1	0	0	1	0	0	0
TRH248	0	1	0	0	1	0	0	0
TRH266	1	1	0	0	0	0	0	0
TRH270	1	1	0	0	1	0	0	1
TRH333	0	0	1	0	1	0	0	0
TRH361	1	1	0	0	0	1	1	0
TRH391	1	1	0	0	0	1	1	0
TRH395	1	1	0	0	0	1	1	0
TRH455	1	1	0	0	0	1	0	0
TRH456	1	1	0	0	0	0	0	0
TRH457	1	1	0	0	0	0	0	0
TRH641	1	0	0	0	0	0	0	0
