CoreMicrobe_Taxa	CoreMicrobe_Presence	Pathogen_Kingdom	Pathogen_No_Detected
Gilliamella	Present	Bacteria	48
Snodgrassella	Present	Bacteria	42
Bombilactobacillus	Absent	Bacteria	31
Lactobacillus: Firm-5	Absent	Bacteria	14
Bifidobacterium	Absent	Bacteria	24
Apilactobacillus	Absent	Bacteria	47
Bombilactobacillus	Present	Bacteria	29
Lactobacillus: Firm-5	Present	Bacteria	46
Bifidobacterium	Present	Bacteria	36
Gilliamella	Absent	Bacteria	12
Snodgrassella	Absent	Bacteria	18
Apilactobacillus	Present	Bacteria	13
Gilliamella	Absent	Eukaryote	5
Snodgrassella	Absent	Eukaryote	15
Bombilactobacillus	Present	Eukaryote	124
Lactobacillus: Firm-5	Present	Eukaryote	158
Bifidobacterium	Absent	Eukaryote	55
Apilactobacillus	Absent	Eukaryote	131
Bombilactobacillus	Absent	Eukaryote	74
Apilactobacillus	Present	Eukaryote	67
Gilliamella	Present	Eukaryote	193
Snodgrassella	Present	Eukaryote	183
Bifidobacterium	Present	Eukaryote	143
Lactobacillus: Firm-5	Absent	Eukaryote	40
Gilliamella	Present	Virus	95
Snodgrassella	Present	Virus	95
Bombilactobacillus	Present	Virus	72
Lactobacillus: Firm-5	Present	Virus	88
Bifidobacterium	Absent	Virus	40
Apilactobacillus	Absent	Virus	76
Gilliamella	Absent	Virus	12
Snodgrassella	Absent	Virus	12
Bombilactobacillus	Absent	Virus	35
Apilactobacillus	Present	Virus	31
Bifidobacterium	Present	Virus	67
Lactobacillus: Firm-5	Absent	Virus	19
